address,protocol,score
0x1879b1939a727e9ffba243dc57034ec1d608becb,indexCoop.loyalty,1
0xd508463d840e4f61ff55fadb009f18dd64ff1bec,indexCoop.loyalty,1
0xd8b7a289025f1a500f0b1b4492baa7fdc86deeb2,indexCoop.loyalty,1
0x67fe70df0aa0f05a1dc634ed3e8c280f454f3506,indexCoop.loyalty,1
0x0643a7938149e78bede5a3535f75f411819ed1c5,indexCoop.loyalty,1
0x8492dd19d3735ec58567135a8d1a808d2bf97aef,indexCoop.loyalty,1
0x6b1ffd8c546e1fe344a773aa154afa3f174e3a2f,indexCoop.loyalty,1
0x3ba3893fde7e06eaf13a4c06e190147b867c82fb,indexCoop.loyalty,1
0xc318ff85f05bf40373a44db9e363a2be451a3ea2,indexCoop.loyalty,1
0xc0f869474c8ca027aa6be8d60c018fd4f01af9d8,indexCoop.loyalty,1
0xabb10bf75d04e7668c0ed8427b88ce8ef0cfe917,indexCoop.loyalty,1
0x3f143ef0dfa51f6e54ad7de0d852ef9b96744ffb,indexCoop.loyalty,1
0xaf5d79cac5f977623c16080d1ff9844b7fc56857,indexCoop.loyalty,1
0x50e62686da19cc397ee5c0e96aa1ba98803401d1,indexCoop.loyalty,1
0x3d7de7a1d4b19de109a9ed6632773ca6eff091f0,indexCoop.loyalty,1
0x0573af8e2848dc488bd8f3399427c67b9786c993,indexCoop.loyalty,1
0x3e7dd7df9c1ffd12b8ecd94a27472bdc4d87ab7e,indexCoop.loyalty,1
0xe8f4ef056430e57898082c8910e1fbf79cb0c13e,indexCoop.loyalty,1
0xb0dbbf4f44b647507a1131acfc2c041e77abadb1,indexCoop.loyalty,1
0x98b984e24e68c7ac813d1d2c42e8cdfbb37d13fd,indexCoop.loyalty,1
0xf49b39a903912f478945e5ee89e6c6f34e4ee705,indexCoop.loyalty,1
0x430bd6d1b891176aa1c2d93a84af36d0be041503,indexCoop.loyalty,1
0x0192d07ff5da1e987ebf24a3dc53675a5e232c82,indexCoop.loyalty,1
0x4c143711e75751d0b5cc62532de61ce4ae0d65b4,indexCoop.loyalty,1
0x5a32fb84af55046ec2fc3540e333b6c30d66ea41,indexCoop.loyalty,1
0x9329ff671ef47b3993f958abd9accafa117f3c8a,indexCoop.loyalty,1
0x592aa580bc007390991e814165fa3f2e12feabff,indexCoop.loyalty,1
0x3be9b9ef04264d256c411207d4b18fd4c2a4a3ec,indexCoop.loyalty,1
0x0cc835d70e5e6174871ba01ac66f300f1d0a8f60,indexCoop.loyalty,1
0xfca2f27b13378aef291cc9ac8e9cf4d119d02086,indexCoop.loyalty,1
0xc044d6b11fc9bf5ad5a190f87912855e24970184,indexCoop.loyalty,1
0xbad81e37c8d4657672e4ae61ba5a49084dc5949e,indexCoop.loyalty,1
0x76632859a997cffcfa8bc11fe09d9704b452678e,indexCoop.loyalty,1
0x25cb5b18a3d6c7cf562de456ab8368ed577c0173,indexCoop.loyalty,1
0x25cfd4fbd95c386c1b9c7141f4d695b71075ca6f,indexCoop.loyalty,1
0x0afe554b695eec66950214c759242c4e3e9f5e87,indexCoop.loyalty,1
0x3ce630f7bc2e9fd32fab844601795196e917dbda,indexCoop.loyalty,1
0x5595edb37d44d886aa2cae0a49d448d486bce4bc,indexCoop.loyalty,1
0xdffbc40d0bcec13eb4fe1c75f03fa23c21d4be5f,indexCoop.loyalty,1
0xa8d3ed42b0699eabd7b6c6652530062f0d0d6d98,indexCoop.loyalty,1
0x7aed03e8e1f97e4eda8385a23ce31fab89d79b52,indexCoop.loyalty,1
0x4d787a641d21dfc60f005b91d842fa02969d0876,indexCoop.loyalty,1
0xfccb964c514c12794509ed62fa274f0e284cee82,indexCoop.loyalty,1
0xcf06a52ee01cb6ce74a195dcf78ac881a63b2f95,indexCoop.loyalty,1
0x8edb2db205a24fa3461b45559b55467e2b1bd388,indexCoop.loyalty,1
0xbad047cb253947622d304294b018569b36052bf1,indexCoop.loyalty,1
0x06a26b3bdbf17da0e1f94bed89a8a2400ea52a74,indexCoop.loyalty,1
0xc1340f3ea33e5dd32efa9df36555dfcf1abacd78,indexCoop.loyalty,1
0x980a4d296bd6898a86f015b27f59a75d6dba3ae9,indexCoop.loyalty,1
0x88984ad160e9e0e981fe4ccc2f340c0ed3b69780,indexCoop.loyalty,1
0xb996bea23f5e8810e5a5152aa89615a95591abf8,indexCoop.loyalty,1
0x40091319ac98d926a9f8161af7e6631911722f23,indexCoop.loyalty,1
0xdf891d17b656feb4d5fa2c2354b926ec91e710ca,indexCoop.loyalty,1
0xe8d29edaa5f2babe1c8b4e4ed560ae19059ec55a,indexCoop.loyalty,1
0xa7100cba79288c1e0f3e4caf999fba2f3e2a1ad9,indexCoop.loyalty,1
0xfe111e6c6a40b29cbf13a01f859574f21b8ea6ba,indexCoop.loyalty,1
0x6ac2e9a98495530d21255c9e00912ec078d03c99,indexCoop.loyalty,1
0x730277bd6e3a17e3881e033a7a138336e25ac591,indexCoop.loyalty,1
0x34438bb99a5dfcc3892815ac5c8d88ab90d2341b,indexCoop.loyalty,1
0x6eafd4347a44c707b8fe203f26bcc0011645f548,indexCoop.loyalty,1
0x567ec33c49d93a7e3e2db3ce5ec0b47e31f0e665,indexCoop.loyalty,1
0x7d6186a3ae8ffb793f053273a4368e41defc3952,indexCoop.loyalty,1
0xe5f648ea98f17aa12acd59468643c62fbbf813eb,indexCoop.loyalty,1
0x6bb8865942e1034cd17891659d54bf5c736373d4,indexCoop.loyalty,1
0x8846faf3dba6a8c06e39c86c5119e0c99d1a1029,indexCoop.loyalty,1
0xd77a4515610260a2e23eff68dd7cdc35139e663e,indexCoop.loyalty,1
0x931d093a949d254028aaf2ecb657f03c26984496,indexCoop.loyalty,1
0xdba1f2843d6fde558cc26be79542526a5560ba2b,indexCoop.loyalty,1
0x7f6294a000e5fa9115610be92b286b3dc504cc72,indexCoop.loyalty,1
0x61c981aada03f3803697cb9c50dacdcd970eec0d,indexCoop.loyalty,1
0x5a3c1249d03488f53bbc30b5a833a390372095ae,indexCoop.loyalty,1
0x24d55b7da98a675bce37bc89909b5f73a568a1d5,indexCoop.loyalty,1
0x6142d997e5a9a9b9fa43e99e9816098a8a55de78,indexCoop.loyalty,1
0x929a5753c41eaed288f946bcbfe4a954ad341797,indexCoop.loyalty,1
0x5b16ed69d3371aba970f329bbb1f33d166a2dce4,indexCoop.loyalty,1
0x9fb64b232dea3ba6e020f517b2bc8afd0145880c,indexCoop.loyalty,1
0xb001adbf5820f5a11768f8f5a106e6682e269048,indexCoop.loyalty,1
0xf05e4938eb945ea4992631b3fe529ed803fa5086,indexCoop.loyalty,1
0x4ae51f1baf9f17ff3ed71dfe6ab12e3b1282edb0,indexCoop.loyalty,1
0xb3156a54a181c2906597fda128a755dca93ecf96,indexCoop.loyalty,1
0x0daef002fd7758b4e457f12769020f524ea14443,indexCoop.loyalty,1
0xe9acf4da1d412e49e6c171cfc34838fcb1066ead,indexCoop.loyalty,1
0x70bc7f5b618c4f2d58d8b83ef97b40f5d9f815de,indexCoop.loyalty,1
0x5ea18a9c21811b2ab7e5e539277522b56c185204,indexCoop.loyalty,1
0xa7a919d9fa7b5fcef697b95c4c1bee2927f6499d,indexCoop.loyalty,1
0x0533fe7eff0aa00d515c75c8f403c2e6345c4d2a,indexCoop.loyalty,1
0x8d5df78be6ce0f13a84988198a2430884b9e9d68,indexCoop.loyalty,1
0x183720080f9e7a23047504e4c86ee6d6fe56283c,indexCoop.loyalty,1
0x5d07f0a238421b2194c98bdb6015aab918bbedd1,indexCoop.loyalty,1
0x9b71e6b842e3a162a01698fa3daa17c05bf211a1,indexCoop.loyalty,1
0x0388134b224fc69b19f26c65581356b6eea9af81,indexCoop.loyalty,1
0x63371bbec0f5a703fc4c2aea7950715d2e932253,indexCoop.loyalty,1
0x8cc5e64ff805c539de88842515c17003769a1d52,indexCoop.loyalty,1
0x6997060d6ba220d8a0b102e0003fe12796b874bd,indexCoop.loyalty,1
0x8e8663ccdd09cea4fed365406bbd52f5197f39a6,indexCoop.loyalty,1
0xeaf27f5aaaed47d4e4419cccdb6ceb85c08b4c7d,indexCoop.loyalty,1
0x9f0a988edc96dac834c158ebfe667da932bd87c6,indexCoop.loyalty,1
0xa90fb7f6da22ee6d0942c68f53f185a97665bc1d,indexCoop.loyalty,1
0x14c90f82e0a00b7c7e6a9907a7d3ce0818f3966a,indexCoop.loyalty,1
0xaafe9d5b2af7ba1f705015424f2be61bbbf4746f,indexCoop.loyalty,1
0x070db852f18ede695630d1c76fe1e197bfeb2602,indexCoop.loyalty,1
0xe97361debd1d86bfa7d7d0219c3d6df94ae87c55,indexCoop.loyalty,1
0x01db5d69efd892e616715d844e6fed78d30e1ed2,indexCoop.loyalty,1
0x48abb1ae04cf684ceda9b173ac94270cc0d92a5a,indexCoop.loyalty,1
0x34f7591e177f48b8fb16fc3a49b171c951c20b27,indexCoop.loyalty,1
0xf4534b570c089ba772ed847bacd3c2fb1f395461,indexCoop.loyalty,1
0xc6eac5c85b3c1a282d6a6e4f95415a91e4e8de91,indexCoop.loyalty,1
0x284f15960617ec1b21e150cf611770d2ce8a4a88,indexCoop.loyalty,1
0xdbb9c6376486b8f7a8a8f4a2d5ad5bf78a09a6a4,indexCoop.loyalty,1
0xc90937080e5b143cf919d983fb08ddc44bac5370,indexCoop.loyalty,1
0x7606537aa57c29a0f54249bd7f236f82d782ee0a,indexCoop.loyalty,1
0xb9c84f5174640ce1964ed86922fa5ab71062d50d,indexCoop.loyalty,1
0x9d541226b9f98d344a8b3f7a635c96a9577e6779,indexCoop.loyalty,1
0x9f8802bc44dead73d5bd3098288d241ed13ff737,indexCoop.loyalty,1
0xd789679535995fd47910e2afc9be1970011bf863,indexCoop.loyalty,1
0x118332da315019a7692e8bac2b3bfbd84ec8db15,indexCoop.loyalty,1
0x1a9153caac44079bb8deb4339352e0be44b4016e,indexCoop.loyalty,1
0xf75fcd9849d3365d436d0cd889ed500150c9482a,indexCoop.loyalty,1
0x0cd976dd1fd4c14690d3008fa76651dacb19d333,indexCoop.loyalty,1
0xe037c2af0c11f3ee90bb17bafe3ba9a627ae7de0,indexCoop.loyalty,1
0x3110cbebea614b9bbc5ad730585610cb13e9edfa,indexCoop.loyalty,1
0xf8cd644baf494d13406187cf8628754dca0a10c2,indexCoop.loyalty,1
0xef2a7b6a01f9019527ebc17ab92d5f3075265632,indexCoop.loyalty,1
0xadada7a6ce31f0256106ca2e031d5866e104b3c8,indexCoop.loyalty,1
0x3a6190aa6dd7f173e22219512edfc12969c22533,indexCoop.loyalty,1
0xf29b51f81609122e8b1991846e730a0ec2e23324,indexCoop.loyalty,1
0xf0eb8b3f343549ba1176675cacf96ddf52a8884d,indexCoop.loyalty,1
0x68c9f54dfb60cb446789ded4db5cd282eab324bf,indexCoop.loyalty,1
0x4b97e850aa441548a5f38b4c9ceef9c1a2c8ffc3,indexCoop.loyalty,1
0xc5702deff65c799d20a562130813dfa2a7100f5a,indexCoop.loyalty,1
0x36e729b3107762e51dde266e11803dca28bef030,indexCoop.loyalty,1
0x970d1ad43e6392a29d934a187760c5ca1d245afb,indexCoop.loyalty,1
0xad08f13ffdf65e0c9c8ca62bff5f568a43e56c46,indexCoop.loyalty,1
0xd9c5692d2548b79518c7f58ef0361a8fd6887f8a,indexCoop.loyalty,1
0x0d17e69202dfa511868f1400f2429d1fea4e031d,indexCoop.loyalty,1
0xf6d260ee5d1b551a98aa99c4676340bff966c359,indexCoop.loyalty,1
0xb3aee8b5e7b29c79e16501ac163b40f5c46295bc,indexCoop.loyalty,1
0x7299a8b62f32b11514501096db482ab61e9e8de2,indexCoop.loyalty,1
0x6ecb38075ed1eb2245866fedcd82663eee54912e,indexCoop.loyalty,1
0x3b32cd36a1b36221244e2312369155771920bf69,indexCoop.loyalty,1
0xef1244af7099dce45ee7f937534f0968501efb29,indexCoop.loyalty,1
0xb688f534ee0d640993d6694162bafb37e88fa655,indexCoop.loyalty,1
0xf1240c8450818c6667d7a5890467d131901b1377,indexCoop.loyalty,1
0xb9bb4867c1f058e78bd709e6e2fe5bf46fa3dbce,indexCoop.loyalty,1
0x61e8816fe6f92350bf10f9937154dece396b7686,indexCoop.loyalty,1
0x3f74898df647079ae70ace06040e7e0ccbd5541b,indexCoop.loyalty,1
0xa38526fa20e5550b806aeb70491404506a6cb096,indexCoop.loyalty,1
0x06cc987740ea50d3a32ebdd2820b7412da8b532b,indexCoop.loyalty,1
0xbb0931bed42010544163c684d7e178af05722ac7,indexCoop.loyalty,1
0x67512ad610e82cf514f088c79e5db164ce1ccfad,indexCoop.loyalty,1
0x290b06796d7b395cb9fb2c695b42c78ebd8e0636,indexCoop.loyalty,1
0x45553653b9703cac3e50b18f53df0c400effa629,indexCoop.loyalty,1
0x1613943162e0d7d21a7bf2070fecd4349ef88966,indexCoop.loyalty,1
0xc1ab54a44f25ba42943002c27b4b7b8913ce56dd,indexCoop.loyalty,1
0x196c40547d4febaec6427c9738436c6ca62a3bc1,indexCoop.loyalty,1
0xf16d2858a8c15f765d81c009c8a50ee072f6329b,indexCoop.loyalty,1
0x022c8d4f29878e1801e6591471a972095a8f1bb0,indexCoop.loyalty,1
0x415ede5736240f4d97d3df8b813c88e782dc85f6,indexCoop.loyalty,1
0xe496169671456d3421b532c81eb2b7d48b00635f,indexCoop.loyalty,1
0x79b56a1429a94e133ea30836b7bc298348f246a2,indexCoop.loyalty,1
0x00e4846e2971bb2b29cec7c9efc8fa686ae21342,indexCoop.loyalty,1
0xbb07080583b39b9efabeee7e1f59b6792093e964,indexCoop.loyalty,1
0x475af117f0590f82c68867900c6529f0c55f0aad,indexCoop.loyalty,1
0x2df0bd695a8bb20cdf7024d2dafa74e5cec1ed56,indexCoop.loyalty,1
0xe248e8e146482ae90dc02daed506d802a8c5ee9f,indexCoop.loyalty,1
0x69da9c81e47bd7575516cef5d53150916f5f15a9,indexCoop.loyalty,1
0xb12829d2d48097527ec8bd63b287024b1e5e926d,indexCoop.loyalty,1
0xde45f390eb26e27b0303514047be0a4d1fb6a04c,indexCoop.loyalty,1
0x99832aaaf75690ff1aee948352716752e89e1551,indexCoop.loyalty,1
0x1e91ceb91af24f2cfe0ff989c24721262243c649,indexCoop.loyalty,1
0x40d2bb545d5d4b2f0c3c889250565f867c88e31f,indexCoop.loyalty,1
0x25ebb2003c9cd4e37bc58eb22535732dea7bf59d,indexCoop.loyalty,1
0x87b5878eedfb895c9d69e1979e50137469292505,indexCoop.loyalty,1
0x09fabc7edf2c5eca333af2ead4af5ac6e2349cd7,indexCoop.loyalty,1
0x1df34258bfbf05741c8480599ab3f94599f9a701,indexCoop.loyalty,1
0xa9aa8e0cf4813e1ef4a607bbf50dc099797b6a22,indexCoop.loyalty,1
0x53f0a8420474a1e05383096b9f6560c115cdd7fd,indexCoop.loyalty,1
0x898616c4374fe4160c810536590c5d3d96e2ba14,indexCoop.loyalty,1
0x70298b21b16d2c8c351b1acf595f8ef8bf003818,indexCoop.loyalty,1
0xbb91e94d81bc9be72743ecbecf3c57a3f3945b5a,indexCoop.loyalty,1
0xd33284930474fd9cd8b09735026eb1613c8a80a6,indexCoop.loyalty,1
0x365ace21cdce3fee5b0e6ea5464aa018e4bc1d24,indexCoop.loyalty,1
0xe0009c007216241757549ab6d3ef963202753cb7,indexCoop.loyalty,1
0xf1468d21fdeb06d6e94f1bbe6fee30f35b702c37,indexCoop.loyalty,1
